activity_id,opportunity_id,activity_date,activity_type,channel,activity_status
453,45,2026-04-15,Call,Video,Completed
454,45,2026-04-21,Demo,In-person,Completed
461,46,2025-08-21,Demo,In-person,Completed
462,46,2025-08-23,Email,Email,Completed
463,46,2025-08-29,Meeting,Phone,Completed
464,46,2025-09-04,"Proposal Follow-up",Video,Completed
465,46,2025-09-10,Call,In-person,Completed
471,47,2026-04-29,"Proposal Follow-up",Video,Completed
472,47,2026-05-05,Call,In-person,Completed
473,47,2026-05-07,Demo,Email,Completed
474,47,2026-05-13,Email,Phone,"No Response"
481,48,2025-09-12,Email,Phone,Completed
482,48,2025-09-18,Meeting,Video,Completed
483,48,2025-09-24,"Proposal Follow-up",In-person,"No Response"
484,48,2025-09-26,Call,Email,Completed
491,49,2025-01-26,Call,Email,Completed
492,49,2025-02-01,Demo,Phone,Completed
493,49,2025-02-07,Email,Video,Completed
494,49,2025-02-13,Meeting,In-person,Completed
495,49,2025-02-15,"Proposal Follow-up",Email,Completed
501,50,2025-10-08,Meeting,In-person,Completed
502,50,2025-10-10,"Proposal Follow-up",Email,Completed
503,50,2025-10-16,Call,Phone,Completed
504,50,2025-10-22,Demo,Video,Completed
511,51,2025-02-21,Demo,Video,Completed
512,51,2025-02-27,Email,In-person,Completed
521,52,2025-10-30,"Proposal Follow-up",Phone,Completed
522,52,2025-11-05,Call,Video,Completed
523,52,2025-11-11,Demo,In-person,Completed
524,52,2025-11-13,Email,Email,Completed
531,53,2025-03-15,Email,Email,Completed
532,53,2025-03-21,Meeting,Phone,Completed
533,53,2025-03-27,"Proposal Follow-up",Video,Completed
534,53,2025-04-02,Call,In-person,Completed
541,54,2025-11-25,Call,In-person,Completed
542,54,2025-11-27,Demo,Email,Completed
543,54,2025-12-03,Email,Phone,Completed
544,54,2025-12-09,Meeting,Video,Completed
551,55,2025-12-06,Meeting,Video,"No Response"
552,55,2025-12-12,"Proposal Follow-up",In-person,Completed
553,55,2025-12-14,Call,Email,Completed
554,55,2025-12-20,Demo,Phone,Completed
555,55,2025-12-26,Email,Video,Completed
561,56,2025-04-21,Demo,Phone,Completed
562,56,2025-04-27,Email,Video,Completed
563,56,2025-05-03,Meeting,In-person,Completed
564,56,2025-05-05,"Proposal Follow-up",Email,Completed
571,57,2025-12-28,"Proposal Follow-up",Email,Completed
572,57,2026-01-03,Call,Phone,Completed
573,57,2026-01-09,Demo,Video,"No Response"
574,57,2026-01-15,Email,In-person,Completed
581,58,2025-05-17,Email,In-person,Completed
582,58,2025-05-19,Meeting,Email,"No Response"
583,58,2025-05-25,"Proposal Follow-up",Phone,Completed
584,58,2025-05-31,Call,Video,Completed
591,59,2026-01-23,Call,Video,Completed
592,59,2026-01-29,Demo,In-person,Completed
593,59,2026-01-31,Email,Email,Completed
601,60,2025-06-08,Meeting,Phone,Completed
602,60,2025-06-14,"Proposal Follow-up",Video,Completed
603,60,2025-06-20,Call,In-person,Completed
604,60,2025-06-22,Demo,Email,"No Response"
605,60,2025-06-28,Email,Phone,Completed
611,61,2026-02-14,Demo,Email,Completed
612,61,2026-02-20,Email,Phone,Completed
613,61,2026-02-26,Meeting,Video,"No Response"
614,61,2026-03-04,"Proposal Follow-up",In-person,Completed
621,62,2025-07-04,"Proposal Follow-up",In-person,Completed
622,62,2025-07-06,Call,Email,Completed
623,62,2025-07-12,Demo,Phone,Completed
631,63,2026-03-12,Email,Video,Completed
632,63,2026-03-18,Meeting,In-person,Completed
633,63,2026-03-20,"Proposal Follow-up",Email,Completed
634,63,2026-03-26,Call,Phone,Completed
641,64,2025-07-26,Call,Phone,Completed
642,64,2025-08-01,Demo,Video,Completed
651,65,2026-04-03,Meeting,Email,Completed
652,65,2026-04-09,"Proposal Follow-up",Phone,Completed
661,66,2025-08-21,Demo,In-person,Completed
662,66,2025-08-23,Email,Email,Completed
663,66,2025-08-29,Meeting,Phone,Completed
664,66,2025-09-04,"Proposal Follow-up",Video,Completed
665,66,2025-09-10,Call,In-person,Completed
671,67,2026-04-29,"Proposal Follow-up",Video,Completed
672,67,2026-05-05,Call,In-person,"No Response"
673,67,2026-05-07,Demo,Email,Completed
681,68,2025-09-12,Email,Phone,"No Response"
682,68,2025-09-18,Meeting,Video,Completed
691,69,2025-09-23,Call,Email,Completed
692,69,2025-09-29,Demo,Phone,Completed
693,69,2025-10-05,Email,Video,Completed
694,69,2025-10-11,Meeting,In-person,Completed
695,69,2025-10-13,"Proposal Follow-up",Email,Completed
701,70,2025-02-10,Meeting,In-person,Completed
702,70,2025-02-12,"Proposal Follow-up",Email,Completed
703,70,2025-02-18,Call,Phone,"No Response"
704,70,2025-02-24,Demo,Video,Completed
705,70,2025-03-02,Email,In-person,Completed
711,71,2025-10-19,Demo,Video,Completed
712,71,2025-10-25,Email,In-person,"No Response"
721,72,2025-03-04,"Proposal Follow-up",Phone,Completed
722,72,2025-03-10,Call,Video,Completed
723,72,2025-03-16,Demo,In-person,Completed
731,73,2025-11-10,Email,Email,Completed
732,73,2025-11-16,Meeting,Phone,Completed
733,73,2025-11-22,"Proposal Follow-up",Video,Completed
741,74,2025-03-30,Call,In-person,Completed
742,74,2025-04-01,Demo,Email,Completed
743,74,2025-04-07,Email,Phone,"No Response"
751,75,2025-12-06,Meeting,Video,Completed
752,75,2025-12-12,"Proposal Follow-up",In-person,Completed
753,75,2025-12-14,Call,Email,Completed
754,75,2025-12-20,Demo,Phone,Completed
755,75,2025-12-26,Email,Video,Completed
761,76,2025-04-21,Demo,Phone,Completed
762,76,2025-04-27,Email,Video,Completed
763,76,2025-05-03,Meeting,In-person,Completed
764,76,2025-05-05,"Proposal Follow-up",Email,Completed
771,77,2025-12-28,"Proposal Follow-up",Email,Completed
772,77,2026-01-03,Call,Phone,Completed
773,77,2026-01-09,Demo,Video,Completed
774,77,2026-01-15,Email,In-person,Completed
781,78,2025-05-17,Email,In-person,Completed
782,78,2025-05-19,Meeting,Email,Completed
783,78,2025-05-25,"Proposal Follow-up",Phone,Completed
784,78,2025-05-31,Call,Video,Completed
791,79,2026-01-23,Call,Video,Completed
792,79,2026-01-29,Demo,In-person,Completed
793,79,2026-01-31,Email,Email,Completed
794,79,2026-02-06,Meeting,Phone,Completed
795,79,2026-02-12,"Proposal Follow-up",Video,Completed
801,80,2025-06-08,Meeting,Phone,Completed
802,80,2025-06-14,"Proposal Follow-up",Video,"No Response"
803,80,2025-06-20,Call,In-person,Completed
804,80,2025-06-22,Demo,Email,Completed
811,81,2026-02-14,Demo,Email,"No Response"
812,81,2026-02-20,Email,Phone,Completed
813,81,2026-02-26,Meeting,Video,Completed
821,82,2025-07-04,"Proposal Follow-up",In-person,Completed
822,82,2025-07-06,Call,Email,Completed
823,82,2025-07-12,Demo,Phone,Completed
824,82,2025-07-18,Email,Video,Completed
831,83,2025-07-15,Email,Video,Completed
832,83,2025-07-21,Meeting,In-person,Completed
833,83,2025-07-23,"Proposal Follow-up",Email,"No Response"
834,83,2025-07-29,Call,Phone,Completed
841,84,2026-03-23,Call,Phone,Completed
842,84,2026-03-29,Demo,Video,"No Response"
843,84,2026-04-04,Email,In-person,Completed
844,84,2026-04-06,Meeting,Email,Completed
851,85,2025-08-06,Meeting,Email,Completed
852,85,2025-08-12,"Proposal Follow-up",Phone,Completed
853,85,2025-08-18,Call,Video,Completed
854,85,2025-08-24,Demo,In-person,Completed
855,85,2025-08-26,Email,Email,Completed
861,86,2026-04-18,Demo,In-person,Completed
862,86,2026-04-20,Email,Email,Completed
863,86,2026-04-26,Meeting,Phone,Completed
864,86,2026-05-02,"Proposal Follow-up",Video,"No Response"
871,87,2025-09-01,"Proposal Follow-up",Video,Completed
872,87,2025-09-07,Call,In-person,Completed
873,87,2025-09-09,Demo,Email,"No Response"
874,87,2025-09-15,Email,Phone,Completed
881,88,2025-01-15,Email,Phone,Completed
882,88,2025-01-21,Meeting,Video,Completed
883,88,2025-01-27,"Proposal Follow-up",In-person,Completed
884,88,2025-01-29,Call,Email,Completed
891,89,2025-09-23,Call,Email,Completed
892,89,2025-09-29,Demo,Phone,Completed
893,89,2025-10-05,Email,Video,Completed
894,89,2025-10-11,Meeting,In-person,Completed
901,90,2025-02-10,Meeting,In-person,"No Response"
902,90,2025-02-12,"Proposal Follow-up",Email,Completed
903,90,2025-02-18,Call,Phone,Completed
904,90,2025-02-24,Demo,Video,Completed
905,90,2025-03-02,Email,In-person,Completed
911,91,2025-10-19,Demo,Video,Completed
912,91,2025-10-25,Email,In-person,Completed
913,91,2025-10-27,Meeting,Email,Completed
914,91,2025-11-02,"Proposal Follow-up",Phone,Completed
915,91,2025-11-08,Call,Video,Completed
921,92,2025-03-04,"Proposal Follow-up",Phone,Completed
922,92,2025-03-10,Call,Video,Completed
923,92,2025-03-16,Demo,In-person,Completed
924,92,2025-03-18,Email,Email,Completed
925,92,2025-03-24,Meeting,Phone,Completed
931,93,2025-11-10,Email,Email,Completed
932,93,2025-11-16,Meeting,Phone,"No Response"
933,93,2025-11-22,"Proposal Follow-up",Video,Completed
934,93,2025-11-28,Call,In-person,Completed
941,94,2025-03-30,Call,In-person,"No Response"
942,94,2025-04-01,Demo,Email,Completed
943,94,2025-04-07,Email,Phone,Completed
944,94,2025-04-13,Meeting,Video,Completed
951,95,2025-12-06,Meeting,Video,Completed
952,95,2025-12-12,"Proposal Follow-up",In-person,Completed
953,95,2025-12-14,Call,Email,Completed
954,95,2025-12-20,Demo,Phone,Completed
961,96,2025-04-21,Demo,Phone,Completed
962,96,2025-04-27,Email,Video,Completed
963,96,2025-05-03,Meeting,In-person,"No Response"
971,97,2025-12-28,"Proposal Follow-up",Email,Completed
972,97,2026-01-03,Call,Phone,"No Response"
973,97,2026-01-09,Demo,Video,Completed
974,97,2026-01-15,Email,In-person,Completed
981,98,2026-01-12,Email,In-person,Completed
982,98,2026-01-14,Meeting,Email,Completed
983,98,2026-01-20,"Proposal Follow-up",Phone,Completed
984,98,2026-01-26,Call,Video,Completed
991,99,2025-05-28,Call,Video,Completed
992,99,2025-06-03,Demo,In-person,Completed
993,99,2025-06-05,Email,Email,Completed
994,99,2025-06-11,Meeting,Phone,"No Response"
1001,100,2026-02-03,Meeting,Phone,Completed
1002,100,2026-02-09,"Proposal Follow-up",Video,Completed
1003,100,2026-02-15,Call,In-person,Completed
1004,100,2026-02-17,Demo,Email,Completed
1011,101,2025-06-19,Demo,Email,Completed
1012,101,2025-06-25,Email,Phone,Completed
1013,101,2025-07-01,Meeting,Video,Completed
1014,101,2025-07-07,"Proposal Follow-up",In-person,Completed
1021,102,2026-03-01,"Proposal Follow-up",In-person,Completed
1022,102,2026-03-03,Call,Email,Completed
1023,102,2026-03-09,Demo,Phone,Completed
1024,102,2026-03-15,Email,Video,Completed
1031,103,2025-07-15,Email,Video,"No Response"
1032,103,2025-07-21,Meeting,In-person,Completed
1033,103,2025-07-23,"Proposal Follow-up",Email,Completed
1034,103,2025-07-29,Call,Phone,Completed
1035,103,2025-08-04,Demo,Video,Completed
1041,104,2026-03-23,Call,Phone,Completed
1042,104,2026-03-29,Demo,Video,Completed
1043,104,2026-04-04,Email,In-person,Completed
1044,104,2026-04-06,Meeting,Email,Completed
1051,105,2025-08-06,Meeting,Email,Completed
1052,105,2025-08-12,"Proposal Follow-up",Phone,Completed
1053,105,2025-08-18,Call,Video,Completed
1054,105,2025-08-24,Demo,In-person,Completed
1061,106,2026-04-18,Demo,In-person,Completed
1062,106,2026-04-20,Email,Email,"No Response"
1063,106,2026-04-26,Meeting,Phone,Completed
1064,106,2026-05-02,"Proposal Follow-up",Video,Completed
1071,107,2025-09-01,"Proposal Follow-up",Video,"No Response"
1072,107,2025-09-07,Call,In-person,Completed
1073,107,2025-09-09,Demo,Email,Completed
1074,107,2025-09-15,Email,Phone,Completed
1075,107,2025-09-21,Meeting,Video,Completed
1081,108,2025-01-15,Email,Phone,Completed
1082,108,2025-01-21,Meeting,Video,Completed
1083,108,2025-01-27,"Proposal Follow-up",In-person,Completed
1084,108,2025-01-29,Call,Email,Completed
1085,108,2025-02-04,Demo,Phone,Completed
1091,109,2025-09-23,Call,Email,Completed
1092,109,2025-09-29,Demo,Phone,Completed
1093,109,2025-10-05,Email,Video,"No Response"
1101,110,2025-02-10,Meeting,In-person,Completed
1102,110,2025-02-12,"Proposal Follow-up",Email,"No Response"
1103,110,2025-02-18,Call,Phone,Completed
1104,110,2025-02-24,Demo,Video,Completed
1105,110,2025-03-02,Email,In-person,Completed
1111,111,2025-10-19,Demo,Video,Completed
1112,111,2025-10-25,Email,In-person,Completed
1113,111,2025-10-27,Meeting,Email,Completed
1114,111,2025-11-02,"Proposal Follow-up",Phone,Completed
1115,111,2025-11-08,Call,Video,"No Response"
1121,112,2025-10-30,"Proposal Follow-up",Phone,Completed
1122,112,2025-11-05,Call,Video,Completed
1123,112,2025-11-11,Demo,In-person,Completed
1131,113,2025-03-15,Email,Email,Completed
1132,113,2025-03-21,Meeting,Phone,Completed
1133,113,2025-03-27,"Proposal Follow-up",Video,Completed
1134,113,2025-04-02,Call,In-person,Completed
1135,113,2025-04-04,Demo,Email,Completed
1141,114,2025-11-25,Call,In-person,Completed
1142,114,2025-11-27,Demo,Email,Completed
1143,114,2025-12-03,Email,Phone,Completed
1144,114,2025-12-09,Meeting,Video,Completed
1151,115,2025-04-10,Meeting,Video,Completed
1152,115,2025-04-16,"Proposal Follow-up",In-person,Completed
1161,116,2025-12-17,Demo,Phone,"No Response"
1162,116,2025-12-23,Email,Video,Completed
1163,116,2025-12-29,Meeting,In-person,Completed
1164,116,2025-12-31,"Proposal Follow-up",Email,Completed
1165,116,2026-01-06,Call,Phone,Completed
1171,117,2025-05-02,"Proposal Follow-up",Email,Completed
1172,117,2025-05-08,Call,Phone,Completed
1173,117,2025-05-14,Demo,Video,Completed
1174,117,2025-05-20,Email,In-person,Completed
1181,118,2026-01-12,Email,In-person,Completed
1182,118,2026-01-14,Meeting,Email,Completed
1183,118,2026-01-20,"Proposal Follow-up",Phone,Completed
1191,119,2025-05-28,Call,Video,Completed
1192,119,2025-06-03,Demo,In-person,"No Response"
1193,119,2025-06-05,Email,Email,Completed
1194,119,2025-06-11,Meeting,Phone,Completed
1201,120,2026-02-03,Meeting,Phone,"No Response"
1202,120,2026-02-09,"Proposal Follow-up",Video,Completed
1211,121,2025-06-19,Demo,Email,Completed
1212,121,2025-06-25,Email,Phone,Completed
1213,121,2025-07-01,Meeting,Video,Completed
1214,121,2025-07-07,"Proposal Follow-up",In-person,"No Response"
1221,122,2026-03-01,"Proposal Follow-up",In-person,Completed
1222,122,2026-03-03,Call,Email,Completed
1223,122,2026-03-09,Demo,Phone,"No Response"
1224,122,2026-03-15,Email,Video,Completed
1225,122,2026-03-21,Meeting,In-person,Completed
1231,123,2025-07-15,Email,Video,Completed
1232,123,2025-07-21,Meeting,In-person,Completed
1233,123,2025-07-23,"Proposal Follow-up",Email,Completed
1241,124,2026-03-23,Call,Phone,Completed
1242,124,2026-03-29,Demo,Video,Completed
1243,124,2026-04-04,Email,In-person,Completed
1244,124,2026-04-06,Meeting,Email,Completed
1251,125,2025-08-06,Meeting,Email,Completed
1252,125,2025-08-12,"Proposal Follow-up",Phone,Completed
1253,125,2025-08-18,Call,Video,Completed
1254,125,2025-08-24,Demo,In-person,"No Response"
1261,126,2025-08-21,Demo,In-person,Completed
1262,126,2025-08-23,Email,Email,Completed
1263,126,2025-08-29,Meeting,Phone,Completed
1264,126,2025-09-04,"Proposal Follow-up",Video,Completed
1265,126,2025-09-10,Call,In-person,Completed
1271,127,2026-04-29,"Proposal Follow-up",Video,Completed
1272,127,2026-05-05,Call,In-person,Completed
1273,127,2026-05-07,Demo,Email,Completed
1274,127,2026-05-13,Email,Phone,Completed
1275,127,2026-05-19,Meeting,Video,Completed
1281,128,2025-09-12,Email,Phone,Completed
1282,128,2025-09-18,Meeting,Video,Completed
1283,128,2025-09-24,"Proposal Follow-up",In-person,Completed
1284,128,2025-09-26,Call,Email,Completed
1285,128,2025-10-02,Demo,Phone,"No Response"
1291,129,2025-01-26,Call,Email,"No Response"
1292,129,2025-02-01,Demo,Phone,Completed
1293,129,2025-02-07,Email,Video,Completed
1294,129,2025-02-13,Meeting,In-person,Completed
1295,129,2025-02-15,"Proposal Follow-up",Email,Completed
1301,130,2025-10-08,Meeting,In-person,Completed
1302,130,2025-10-10,"Proposal Follow-up",Email,Completed
1303,130,2025-10-16,Call,Phone,Completed
1304,130,2025-10-22,Demo,Video,Completed
1305,130,2025-10-28,Email,In-person,Completed
1311,131,2025-02-21,Demo,Video,Completed
1312,131,2025-02-27,Email,In-person,Completed
1313,131,2025-03-01,Meeting,Email,Completed
1314,131,2025-03-07,"Proposal Follow-up",Phone,Completed
1321,132,2025-10-30,"Proposal Follow-up",Phone,Completed
1322,132,2025-11-05,Call,Video,"No Response"
1323,132,2025-11-11,Demo,In-person,Completed
1324,132,2025-11-13,Email,Email,Completed
1331,133,2025-03-15,Email,Email,"No Response"
1332,133,2025-03-21,Meeting,Phone,Completed
1333,133,2025-03-27,"Proposal Follow-up",Video,Completed
1341,134,2025-11-25,Call,In-person,Completed
1342,134,2025-11-27,Demo,Email,Completed
1343,134,2025-12-03,Email,Phone,Completed
1344,134,2025-12-09,Meeting,Video,"No Response"
1345,134,2025-12-15,"Proposal Follow-up",In-person,Completed
1351,135,2025-04-10,Meeting,Video,Completed
1352,135,2025-04-16,"Proposal Follow-up",In-person,Completed
1353,135,2025-04-18,Call,Email,"No Response"
1354,135,2025-04-24,Demo,Phone,Completed
1361,136,2025-12-17,Demo,Phone,Completed
1362,136,2025-12-23,Email,Video,Completed
1363,136,2025-12-29,Meeting,In-person,Completed
1371,137,2025-05-02,"Proposal Follow-up",Email,Completed
1372,137,2025-05-08,Call,Phone,Completed
1373,137,2025-05-14,Demo,Video,Completed
1374,137,2025-05-20,Email,In-person,Completed
1381,138,2026-01-12,Email,In-person,Completed
1382,138,2026-01-14,Meeting,Email,Completed
1383,138,2026-01-20,"Proposal Follow-up",Phone,Completed
1384,138,2026-01-26,Call,Video,"No Response"
1385,138,2026-02-01,Demo,In-person,Completed
1391,139,2025-05-28,Call,Video,Completed
1392,139,2025-06-03,Demo,In-person,Completed
1401,140,2025-06-08,Meeting,Phone,Completed
1402,140,2025-06-14,"Proposal Follow-up",Video,Completed
1411,141,2026-02-14,Demo,Email,Completed
1412,141,2026-02-20,Email,Phone,Completed
1413,141,2026-02-26,Meeting,Video,Completed
1414,141,2026-03-04,"Proposal Follow-up",In-person,Completed
1421,142,2025-07-04,"Proposal Follow-up",In-person,"No Response"
1422,142,2025-07-06,Call,Email,Completed
1423,142,2025-07-12,Demo,Phone,Completed
1424,142,2025-07-18,Email,Video,Completed
1431,143,2026-03-12,Email,Video,Completed
1432,143,2026-03-18,Meeting,In-person,Completed
1433,143,2026-03-20,"Proposal Follow-up",Email,Completed
1434,143,2026-03-26,Call,Phone,Completed
1435,143,2026-04-01,Demo,Video,Completed
1441,144,2025-07-26,Call,Phone,Completed
1442,144,2025-08-01,Demo,Video,Completed
1443,144,2025-08-07,Email,In-person,"No Response"
1444,144,2025-08-09,Meeting,Email,Completed
1445,144,2025-08-15,"Proposal Follow-up",Phone,Completed
1451,145,2026-04-03,Meeting,Email,Completed
1452,145,2026-04-09,"Proposal Follow-up",Phone,"No Response"
1453,145,2026-04-15,Call,Video,Completed
1454,145,2026-04-21,Demo,In-person,Completed
1455,145,2026-04-23,Email,Email,Completed
1461,146,2025-08-21,Demo,In-person,Completed
1462,146,2025-08-23,Email,Email,Completed
1463,146,2025-08-29,Meeting,Phone,Completed
1471,147,2026-04-29,"Proposal Follow-up",Video,Completed
1472,147,2026-05-05,Call,In-person,Completed
1473,147,2026-05-07,Demo,Email,Completed
1474,147,2026-05-13,Email,Phone,"No Response"
