opportunity_id,account_id,lead_date,qualified_date,proposal_date,closed_date,current_stage,outcome,deal_size_band,deal_value_usd,lead_source,owner_team,lost_reason
40,230,2026-01-26,2026-01-28,2026-02-19,2026-04-09,Lost,Lost,Small,27570.0,Outbound,"APAC Sales",Competitor
41,7,2026-02-07,2026-02-22,2026-03-14,2026-04-06,Won,Won,Medium,48326.0,Outbound,"NA Sales",
42,24,2025-06-24,,,,Lead,Open,Small,21606.0,Inbound,"NA Sales",
43,41,2026-03-03,2026-03-12,2026-03-24,2026-05-08,Won,Won,Large,115314.0,Inbound,"APAC Sales",
44,58,2025-07-18,2025-07-20,2025-08-11,2025-09-29,Won,Won,Medium,51674.0,Partner,"EMEA Sales",
45,75,2026-03-27,2026-04-04,2026-04-16,2026-05-31,Lost,Lost,Medium,52790.0,Inbound,"NA Sales",Budget
46,92,2025-08-11,2025-08-14,2025-09-03,2025-09-26,Won,Won,Medium,53906.0,Outbound,"APAC Sales",
47,109,2026-04-20,2026-04-26,,,Qualified,Open,Small,25296.0,Partner,"EMEA Sales",
48,126,2025-09-04,,,,Lead,Open,Medium,56138.0,Partner,"NA Sales",
49,143,2025-01-19,2025-01-31,,,Qualified,Open,Medium,57254.0,Partner,"LATAM Sales",
50,160,2025-09-28,2025-10-10,2025-10-18,2025-12-06,Lost,Lost,Medium,58370.0,Outbound,"APAC Sales",Competitor
51,177,2025-02-12,,,,Lead,Open,Large,129138.0,Inbound,"EMEA Sales",
52,194,2025-10-22,,,,Lead,Open,Medium,60602.0,Partner,"NA Sales",
53,211,2025-03-08,,,,Lead,Open,Small,29724.0,Inbound,"APAC Sales",
54,228,2025-11-15,2025-11-21,2025-12-13,2026-01-31,Lost,Lost,Small,12462.0,Outbound,"EMEA Sales",Competitor
55,5,2025-11-27,2025-12-03,,,Qualified,Open,Medium,52670.0,Outbound,"NA Sales",
56,22,2025-04-13,2025-04-23,,,Qualified,Open,Small,24498.0,Outbound,"APAC Sales",
57,39,2025-12-21,2026-01-01,,,Qualified,Open,Medium,54902.0,Inbound,"EMEA Sales",
58,56,2025-05-07,2025-05-13,2025-05-25,2025-07-09,Won,Won,Medium,56018.0,Event,"NA Sales",
59,73,2026-01-14,2026-01-21,2026-02-18,2026-03-26,Won,Won,Medium,57134.0,Outbound,"APAC Sales",
60,90,2025-05-31,2025-06-02,,,Qualified,Open,Medium,58250.0,Event,"EMEA Sales",
61,107,2026-02-07,2026-02-12,2026-03-04,2026-03-27,Won,Won,Small,28188.0,Inbound,"NA Sales",
62,124,2025-06-24,2025-07-08,2025-07-24,2025-08-20,Lost,Lost,Medium,60482.0,Inbound,"NA Sales",Competitor
63,141,2026-03-03,2026-03-11,2026-03-31,2026-04-23,Lost,Lost,Medium,61598.0,Outbound,"APAC Sales",Budget
64,158,2025-07-18,2025-07-23,2025-08-20,2025-09-25,Lost,Lost,Large,134562.0,Inbound,"EMEA Sales",Competitor
65,175,2026-03-27,2026-04-09,2026-04-15,2026-06-12,Lost,Lost,Large,136290.0,Event,"NA Sales",Budget
66,192,2025-08-11,2025-08-26,,,Qualified,Open,Medium,64946.0,Outbound,"APAC Sales",
67,209,2026-04-20,2026-04-29,2026-05-13,2026-06-18,Lost,Lost,Small,14616.0,Inbound,"EMEA Sales",Budget
68,226,2025-09-04,2025-09-15,2025-09-23,2025-11-11,Lost,Lost,Large,141474.0,Outbound,"NA Sales",Competitor
69,3,2025-09-16,2025-09-24,2025-10-10,2025-11-06,Lost,Lost,Large,126162.0,Outbound,"APAC Sales",Budget
70,20,2025-01-31,2025-02-12,2025-02-20,2025-04-10,Lost,Lost,Small,27390.0,Outbound,"EMEA Sales",Competitor
71,37,2025-10-10,2025-10-23,2025-10-29,2025-12-26,Won,Won,Large,129618.0,Outbound,"NA Sales",
72,54,2025-02-24,2025-02-27,2025-03-21,,Proposal,Open,Medium,60362.0,Inbound,"LATAM Sales",
73,71,2025-11-03,2025-11-07,2025-12-07,2026-01-03,Lost,Lost,Medium,61478.0,Event,"EMEA Sales",Budget
74,88,2025-03-20,2025-04-02,2025-04-10,2025-05-29,Won,Won,Medium,62594.0,Outbound,"NA Sales",
75,105,2025-11-27,,,,Lead,Open,Large,136530.0,Partner,"NA Sales",
76,122,2025-04-13,2025-04-24,,,Qualified,Open,Medium,64826.0,Event,"APAC Sales",
77,139,2025-12-21,2025-12-23,2026-01-26,2026-02-18,Won,Won,Medium,65942.0,Inbound,"EMEA Sales",
78,156,2025-05-07,,,,Lead,Open,Medium,67058.0,Event,"NA Sales",
79,173,2026-01-14,2026-01-19,2026-02-04,,Proposal,Open,Medium,68174.0,Partner,"APAC Sales",
80,190,2025-05-31,2025-06-04,2025-06-18,2025-07-24,Lost,Lost,Medium,69290.0,Outbound,"EMEA Sales",Competitor
81,207,2026-02-07,2026-02-19,,,Qualified,Open,Small,17508.0,Inbound,"NA Sales",
82,224,2025-06-24,2025-06-26,2025-07-22,2025-09-05,Lost,Lost,Small,18246.0,Outbound,"NA Sales",Competitor
83,1,2025-07-06,2025-07-16,2025-07-28,2025-09-11,Lost,Lost,Medium,61358.0,Outbound,"EMEA Sales",Budget
84,18,2026-03-15,,,,Lead,Open,Small,12282.0,Partner,"NA Sales",
85,35,2025-07-30,2025-08-09,2025-08-29,2025-09-21,Lost,Lost,Medium,63590.0,Partner,"LATAM Sales",Budget
86,52,2026-04-08,,,,Lead,Open,Medium,64706.0,Outbound,"EMEA Sales",
87,69,2025-08-23,2025-09-07,2025-09-21,2025-10-27,Won,Won,Medium,65822.0,Inbound,"EMEA Sales",
88,86,2025-01-07,,,,Lead,Open,Medium,66938.0,Event,"NA Sales",
89,103,2025-09-16,2025-09-24,2025-10-24,2025-11-20,Lost,Lost,Small,15972.0,Inbound,"APAC Sales",Budget
90,120,2025-01-31,,,,Lead,Open,Large,145410.0,Outbound,"EMEA Sales",
91,137,2025-10-10,2025-10-18,2025-11-07,2025-11-30,Lost,Lost,Medium,70286.0,Partner,"NA Sales",Budget
92,154,2025-02-24,,,,Lead,Open,Medium,71402.0,Partner,"LATAM Sales",
93,171,2025-11-03,2025-11-11,2025-12-11,2026-01-07,Lost,Lost,Large,150594.0,Partner,"EMEA Sales",Budget
94,188,2025-03-20,,,,Lead,Open,Medium,73634.0,Outbound,"NA Sales",
95,205,2025-11-27,,,,Lead,Open,Small,20400.0,Inbound,"NA Sales",
96,222,2025-04-13,2025-04-27,,,Qualified,Open,Small,21138.0,Outbound,"APAC Sales",
97,239,2025-12-21,2025-12-31,2026-01-20,2026-02-12,Won,Won,Small,21876.0,Event,"EMEA Sales",
98,16,2026-01-02,2026-01-12,2026-01-28,2026-02-24,Lost,Lost,Small,15174.0,Inbound,"LATAM Sales",Competitor
99,33,2025-05-19,2025-05-27,2025-06-16,2025-07-09,Won,Won,Medium,67934.0,Inbound,"APAC Sales",
100,50,2026-01-26,2026-02-07,2026-02-13,2026-04-12,Won,Won,Medium,69050.0,Inbound,"EMEA Sales",
101,67,2025-06-12,2025-06-22,2025-07-12,2025-08-04,Lost,Lost,Medium,70166.0,Partner,"NA Sales",Budget
102,84,2026-02-19,,,,Lead,Open,Medium,71282.0,Outbound,"APAC Sales",
103,101,2025-07-06,,,,Lead,Open,Small,18864.0,Event,"EMEA Sales",
104,118,2026-03-15,2026-03-24,,,Qualified,Open,Medium,73514.0,Outbound,"NA Sales",
105,135,2025-07-30,2025-08-11,2025-08-25,2025-09-30,Won,Won,Medium,74630.0,Outbound,"LATAM Sales",
106,152,2026-04-08,2026-04-17,2026-05-07,2026-05-30,Won,Won,Medium,75746.0,Partner,"EMEA Sales",
107,169,2025-08-23,2025-09-01,2025-10-01,2025-10-28,Won,Won,Small,21816.0,Partner,"EMEA Sales",
108,186,2025-01-07,2025-01-15,2025-01-27,2025-03-13,Won,Won,Medium,77978.0,Outbound,"NA Sales",
109,203,2025-09-16,2025-09-29,2025-10-19,2025-11-11,Won,Won,Small,23292.0,Inbound,"APAC Sales",
110,220,2025-01-31,2025-02-15,,,Qualified,Open,Small,24030.0,Partner,"EMEA Sales",
111,237,2025-10-10,2025-10-16,,,Qualified,Open,Medium,36326.0,Inbound,"NA Sales",
112,14,2025-10-22,2025-10-30,2025-11-19,2025-12-12,Lost,Lost,Small,18066.0,Outbound,"APAC Sales",Competitor
113,31,2025-03-08,2025-03-12,2025-04-09,,Proposal,Open,Medium,72278.0,Outbound,"EMEA Sales",
114,48,2025-11-15,2025-11-20,,,Qualified,Open,Large,152802.0,Outbound,"NA Sales",
115,65,2025-04-01,2025-04-04,2025-05-08,2025-05-31,Lost,Lost,Large,154530.0,Outbound,"APAC Sales",Budget
116,82,2025-12-09,2025-12-16,2026-01-07,2026-02-25,Lost,Lost,Large,156258.0,Inbound,"EMEA Sales",Competitor
117,99,2025-04-25,2025-04-30,2025-05-16,2025-06-12,Lost,Lost,Medium,76742.0,Partner,"NA Sales",Budget
118,116,2026-01-02,2026-01-15,,,Qualified,Open,Small,22494.0,Inbound,"LATAM Sales",
119,133,2025-05-19,2025-06-02,,,Qualified,Open,Medium,78974.0,Outbound,"APAC Sales",
120,150,2026-01-26,2026-02-03,2026-02-17,,Proposal,Open,Large,163170.0,Partner,"EMEA Sales",
121,167,2025-06-12,2025-06-23,,,Qualified,Open,Small,24708.0,Partner,"NA Sales",
122,184,2026-02-19,2026-02-26,,,Qualified,Open,Medium,37322.0,Outbound,"APAC Sales",
123,201,2025-07-06,2025-07-18,2025-07-30,2025-09-13,Lost,Lost,Medium,38438.0,Outbound,"EMEA Sales",Budget
124,218,2026-03-15,2026-03-24,2026-04-23,2026-05-20,Lost,Lost,Medium,39554.0,Inbound,"NA Sales",Competitor
125,235,2025-07-30,2025-08-01,2025-08-21,2025-09-13,Lost,Lost,Medium,40670.0,Outbound,"LATAM Sales",Budget
126,12,2025-08-11,2025-08-13,2025-09-04,2025-10-23,Lost,Lost,Medium,75506.0,Partner,"EMEA Sales",Competitor
127,29,2026-04-20,2026-04-29,2026-05-29,2026-06-25,Won,Won,Small,21696.0,Inbound,"NA Sales",
128,46,2025-09-04,2025-09-17,,,Qualified,Open,Large,159954.0,Inbound,"APAC Sales",
129,63,2025-01-19,,,,Lead,Open,Large,161682.0,Inbound,"EMEA Sales",
130,80,2025-09-28,2025-10-10,2025-11-01,2025-11-15,Lost,Lost,Small,23910.0,Event,"NA Sales",Competitor
131,97,2025-02-12,,,,Lead,Open,Medium,36086.0,Outbound,"LATAM Sales",
132,114,2025-10-22,2025-10-24,2025-11-15,2026-01-03,Won,Won,Small,25386.0,Inbound,"APAC Sales",
133,131,2025-03-08,2025-03-10,,,Qualified,Open,Small,26124.0,Outbound,"EMEA Sales",
134,148,2025-11-15,2025-11-23,,,Qualified,Open,Small,26862.0,Partner,"NA Sales",
135,165,2025-04-01,2025-04-11,2025-05-01,2025-05-24,Lost,Lost,Medium,40550.0,Partner,"APAC Sales",Budget
136,182,2025-12-09,,,,Lead,Open,Small,28338.0,Partner,"EMEA Sales",
137,199,2025-04-25,2025-05-04,2025-05-16,2025-06-30,Won,Won,Medium,42782.0,Partner,"NA Sales",
138,216,2026-01-02,2026-01-08,2026-01-30,2026-03-20,Won,Won,Medium,43898.0,Outbound,"LATAM Sales",
139,233,2025-05-19,,,,Lead,Open,Large,178962.0,Event,"APAC Sales",
140,10,2025-05-31,2025-06-10,2025-07-08,2025-08-13,Lost,Lost,Large,163650.0,Inbound,"NA Sales",Competitor
141,27,2026-02-07,2026-02-10,2026-03-02,2026-03-25,Lost,Lost,Medium,35966.0,Outbound,"APAC Sales",Budget
142,44,2025-06-24,2025-06-26,2025-07-12,2025-08-08,Won,Won,Small,25326.0,Partner,"EMEA Sales",
143,61,2026-03-03,,,,Lead,Open,Small,26064.0,Partner,"NA Sales",
144,78,2025-07-18,2025-08-02,2025-08-10,2025-09-28,Lost,Lost,Medium,39314.0,Partner,"NA Sales",Competitor
145,95,2026-03-27,2026-04-06,2026-04-14,,Proposal,Open,Large,172290.0,Outbound,"APAC Sales",
146,112,2025-08-11,2025-08-13,2025-09-18,2025-10-02,Won,Won,Medium,41546.0,Inbound,"EMEA Sales",
147,129,2026-04-20,2026-04-22,2026-05-26,2026-06-18,Won,Won,Medium,42662.0,Outbound,"NA Sales",
148,146,2025-09-04,2025-09-12,2025-09-26,,Proposal,Open,Medium,43778.0,Partner,"APAC Sales",
149,163,2025-01-19,2025-01-27,,,Qualified,Open,Medium,44894.0,Inbound,"EMEA Sales",
150,180,2025-09-28,2025-09-30,2025-11-05,,Proposal,Open,Medium,46010.0,Inbound,"NA Sales",
151,197,2025-02-12,2025-02-16,2025-03-08,2025-03-31,Won,Won,Small,13968.0,Event,"LATAM Sales",
152,214,2025-10-22,2025-11-03,2025-11-11,2025-12-30,Won,Won,Small,14706.0,Partner,"APAC Sales",
153,231,2025-03-08,2025-03-11,,,Qualified,Open,Small,15444.0,Outbound,"EMEA Sales",
154,8,2025-03-20,2025-03-22,2025-04-25,2025-05-18,Won,Won,Small,26742.0,Event,"LATAM Sales",
155,25,2025-11-27,,,,Lead,Open,Medium,40310.0,Inbound,"EMEA Sales",
156,42,2025-04-13,2025-04-21,2025-05-05,2025-06-10,Lost,Lost,Medium,41426.0,Outbound,"NA Sales",Competitor
157,59,2025-12-21,2026-01-05,2026-01-21,2026-02-17,Won,Won,Medium,42542.0,Outbound,"NA Sales",
158,76,2025-05-07,2025-05-09,2025-05-25,2025-06-21,Won,Won,Medium,43658.0,Outbound,"APAC Sales",
159,93,2026-01-14,2026-01-25,,,Qualified,Open,Small,12432.0,Inbound,"EMEA Sales",
160,110,2025-05-31,,,,Lead,Open,Large,181170.0,Inbound,"NA Sales",
161,127,2026-02-07,2026-02-21,2026-03-05,2026-04-19,Lost,Lost,Large,182898.0,Outbound,"APAC Sales",Budget
162,144,2025-06-24,,,,Lead,Open,Large,184626.0,Event,"EMEA Sales",
163,161,2026-03-03,2026-03-06,2026-03-26,2026-04-18,Lost,Lost,Small,15384.0,Inbound,"NA Sales",Budget
164,178,2025-07-18,2025-07-29,,,Qualified,Open,Medium,50354.0,Outbound,"NA Sales",
165,195,2026-03-27,2026-04-07,,,Qualified,Open,Medium,51470.0,Outbound,"APAC Sales",
166,212,2025-08-11,2025-08-16,2025-09-01,2025-09-28,Won,Won,Medium,52586.0,Inbound,"EMEA Sales",
167,229,2026-04-20,,,,Lead,Open,Medium,53702.0,Event,"NA Sales",
168,6,2025-01-07,,,,Lead,Open,Large,177954.0,Outbound,"APAC Sales",
169,23,2025-09-16,,,,Lead,Open,Small,12372.0,Event,"EMEA Sales",
170,40,2025-01-31,2025-02-09,,,Qualified,Open,Small,13110.0,Inbound,"NA Sales",
171,57,2025-10-10,2025-10-12,2025-11-09,2025-12-15,Lost,Lost,Small,13848.0,Outbound,"APAC Sales",Budget
172,74,2025-02-24,2025-03-10,2025-03-24,2025-04-29,Won,Won,Small,14586.0,Outbound,"EMEA Sales",
173,91,2025-11-03,2025-11-12,2025-12-02,2025-12-25,Won,Won,Medium,49118.0,Inbound,"NA Sales",
174,108,2025-03-20,2025-03-30,2025-04-07,2025-05-26,Won,Won,Medium,50234.0,Inbound,"LATAM Sales",
175,125,2025-11-27,2025-12-04,2025-12-16,2026-01-30,Won,Won,Medium,51350.0,Partner,"EMEA Sales",
176,142,2025-04-13,2025-04-26,,,Qualified,Open,Medium,52466.0,Inbound,"NA Sales",
177,159,2025-12-21,2025-12-31,2026-01-12,2026-02-26,Won,Won,Medium,53582.0,Outbound,"NA Sales",
178,176,2025-05-07,2025-05-09,2025-05-31,2025-07-19,Lost,Lost,Small,19014.0,Partner,"APAC Sales",Competitor
179,193,2026-01-14,2026-01-29,,,Qualified,Open,Small,19752.0,Event,"EMEA Sales",
180,210,2025-05-31,,,,Lead,Open,Small,20490.0,Partner,"NA Sales",
181,227,2026-02-07,2026-02-18,,,Qualified,Open,Small,21228.0,Outbound,"APAC Sales",
182,4,2026-02-19,2026-02-27,2026-03-19,2026-04-11,Won,Won,Small,14526.0,Inbound,"EMEA Sales",
183,21,2025-07-06,2025-07-16,2025-07-24,2025-09-11,Lost,Lost,Medium,48998.0,Partner,"NA Sales",Budget
184,38,2026-03-15,2026-03-23,,,Qualified,Open,Medium,50114.0,Inbound,"APAC Sales",
185,55,2025-07-30,2025-08-14,2025-09-03,2025-09-26,Won,Won,Medium,51230.0,Inbound,"EMEA Sales",
186,72,2026-04-08,2026-04-21,2026-05-03,,Proposal,Open,Large,192018.0,Outbound,"NA Sales",
187,89,2025-08-23,2025-08-29,2025-09-20,2025-11-08,Lost,Lost,Small,18216.0,Outbound,"LATAM Sales",Budget
188,106,2025-01-07,2025-01-13,2025-01-25,2025-03-11,Lost,Lost,Large,195474.0,Inbound,"APAC Sales",Competitor
189,123,2025-09-16,2025-10-01,2025-10-07,2025-12-04,Won,Won,Large,197202.0,Event,"EMEA Sales",
190,140,2025-01-31,,,,Lead,Open,Large,198930.0,Outbound,"NA Sales",
191,157,2025-10-10,2025-10-12,2025-10-28,,Proposal,Open,Medium,57926.0,Event,"APAC Sales",
192,174,2025-02-24,2025-03-03,2025-03-17,2025-04-22,Lost,Lost,Large,202386.0,Inbound,"EMEA Sales",Competitor
193,191,2025-11-03,2025-11-07,2025-12-07,2026-01-03,Won,Won,Medium,60158.0,Outbound,"NA Sales",
194,208,2025-03-20,2025-04-01,,,Qualified,Open,Medium,61274.0,Outbound,"LATAM Sales",
195,225,2025-11-27,,,,Lead,Open,Medium,62390.0,Inbound,"EMEA Sales",
196,2,2025-12-09,2025-12-17,,,Qualified,Open,Medium,52226.0,Event,"NA Sales",
197,19,2025-04-25,2025-05-05,2025-05-21,2025-06-17,Lost,Lost,Small,18156.0,Outbound,"APAC Sales",Budget
198,36,2026-01-02,2026-01-07,2026-02-10,2026-03-05,Won,Won,Small,18894.0,Event,"EMEA Sales",
199,53,2025-05-19,2025-05-31,2025-06-12,2025-07-27,Won,Won,Small,19632.0,Inbound,"NA Sales",
200,70,2026-01-26,2026-02-03,2026-03-05,2026-04-01,Lost,Lost,Medium,56690.0,Outbound,"LATAM Sales",Competitor
201,87,2025-06-12,2025-06-26,2025-07-02,,Proposal,Open,Large,200898.0,Outbound,"APAC Sales",
202,104,2026-02-19,2026-03-06,2026-03-28,2026-04-11,Lost,Lost,Medium,58922.0,Outbound,"EMEA Sales",Competitor
203,121,2025-07-06,2025-07-13,,,Qualified,Open,Medium,60038.0,Inbound,"NA Sales",
204,138,2026-03-15,2026-03-25,,,Qualified,Open,Medium,61154.0,Event,"APAC Sales",
205,155,2025-07-30,2025-08-06,2025-08-18,2025-10-02,Lost,Lost,Large,207810.0,Outbound,"EMEA Sales",Budget
206,172,2026-04-08,,,,Lead,Open,Medium,63386.0,Partner,"NA Sales",
207,189,2025-08-23,2025-08-30,2025-09-21,2025-11-09,Lost,Lost,Small,25536.0,Event,"LATAM Sales",Budget
208,206,2025-01-07,2025-01-19,2025-02-10,,Proposal,Open,Small,26274.0,Inbound,"APAC Sales",
209,223,2025-09-16,2025-09-27,,,Qualified,Open,Medium,66734.0,Inbound,"EMEA Sales",
210,240,2025-01-31,2025-02-05,2025-03-07,2025-04-03,Lost,Lost,Medium,67850.0,Partner,"NA Sales",Competitor
211,17,2025-02-12,,,,Lead,Open,Large,201138.0,Outbound,"EMEA Sales",
212,34,2025-10-22,,,,Lead,Open,Large,202866.0,Event,"NA Sales",
213,51,2025-03-08,2025-03-15,2025-03-27,2025-05-11,Lost,Lost,Large,204594.0,Outbound,"NA Sales",Budget
214,68,2025-11-15,,,,Lead,Open,Small,23262.0,Outbound,"APAC Sales",
215,85,2025-04-01,2025-04-10,2025-04-22,2025-06-06,Won,Won,Medium,62150.0,Partner,"EMEA Sales",
216,102,2025-12-09,,,,Lead,Open,Small,24738.0,Partner,"NA Sales",
217,119,2025-04-25,2025-05-08,,,Qualified,Open,Small,25476.0,Outbound,"APAC Sales",
218,136,2026-01-02,,,,Lead,Open,Small,26214.0,Inbound,"EMEA Sales",
219,153,2025-05-19,2025-05-27,2025-06-24,2025-07-30,Lost,Lost,Medium,66614.0,Event,"NA Sales",Budget
220,170,2026-01-26,,,,Lead,Open,Small,27690.0,Inbound,"LATAM Sales",
221,187,2025-06-12,2025-06-20,2025-07-12,2025-08-30,Lost,Lost,Large,218418.0,Outbound,"APAC Sales",Budget
222,204,2026-02-19,,,,Lead,Open,Large,90146.0,Partner,"EMEA Sales",
223,221,2025-07-06,,,,Lead,Open,Small,29904.0,Partner,"NA Sales",
224,238,2026-03-15,2026-03-18,,,Qualified,Open,Medium,72194.0,Partner,"APAC Sales",
225,15,2026-03-27,,,,Lead,Open,Medium,62030.0,Outbound,"NA Sales",
226,32,2025-08-11,2025-08-21,2025-09-12,2025-09-26,Lost,Lost,Medium,63146.0,Inbound,"NA Sales",Competitor
227,49,2026-04-20,2026-05-04,2026-05-10,2026-07-07,Lost,Lost,Medium,64262.0,Outbound,"APAC Sales",Budget
228,66,2025-09-04,2025-09-11,2025-10-11,2025-11-07,Won,Won,Medium,65378.0,Partner,"EMEA Sales",
229,83,2025-01-19,2025-02-01,,,Qualified,Open,Small,26892.0,Inbound,"NA Sales",
230,100,2025-09-28,,,,Lead,Open,Small,27630.0,Inbound,"APAC Sales",
231,117,2025-02-12,,,,Lead,Open,Large,218658.0,Inbound,"EMEA Sales",
232,134,2025-10-22,2025-11-06,,,Qualified,Open,Small,29106.0,Partner,"NA Sales",
233,151,2025-03-08,2025-03-15,2025-04-14,,Proposal,Open,Medium,70958.0,Outbound,"NA Sales",
234,168,2025-11-15,2025-11-25,2025-12-11,2026-01-07,Lost,Lost,Large,93842.0,Event,"APAC Sales",Competitor
235,185,2025-04-01,2025-04-05,2025-05-05,2025-06-01,Won,Won,Medium,73190.0,Outbound,"EMEA Sales",
236,202,2025-12-09,2025-12-18,2026-01-01,2026-02-06,Won,Won,Medium,74306.0,Outbound,"NA Sales",
237,219,2025-04-25,2025-05-01,,,Qualified,Open,Large,99026.0,Partner,"APAC Sales",
238,236,2026-01-02,,,,Lead,Open,Medium,76538.0,Partner,"EMEA Sales",
239,13,2026-01-14,2026-01-24,2026-02-21,2026-03-29,Lost,Lost,Medium,66374.0,Outbound,"NA Sales",Budget
240,30,2025-05-31,2025-06-03,2025-07-07,2025-07-30,Lost,Lost,Medium,67490.0,Inbound,"APAC Sales",Competitor
241,47,2026-02-07,2026-02-12,2026-03-06,2026-04-24,Won,Won,Medium,68606.0,Partner,"EMEA Sales",
242,64,2025-06-24,2025-07-08,,,Qualified,Open,Medium,69722.0,Inbound,"NA Sales",
243,81,2026-03-03,2026-03-18,,,Qualified,Open,Small,29784.0,Outbound,"LATAM Sales",
244,98,2025-07-18,2025-07-31,2025-08-12,,Proposal,Open,Medium,71954.0,Outbound,"EMEA Sales",
245,115,2026-03-27,2026-03-30,,,Qualified,Open,Medium,73070.0,Outbound,"NA Sales",
246,132,2025-08-11,,,,Lead,Open,Large,97538.0,Outbound,"NA Sales",
247,149,2026-04-20,2026-04-29,,,Qualified,Open,Small,14736.0,Inbound,"APAC Sales",
248,166,2025-09-04,2025-09-13,2025-10-11,2025-11-16,Lost,Lost,Medium,76418.0,Partner,"EMEA Sales",Competitor
249,183,2025-01-19,2025-01-22,,,Qualified,Open,Medium,77534.0,Inbound,"NA Sales",
250,200,2025-09-28,,,,Lead,Open,Medium,78650.0,Outbound,"APAC Sales",
